"Reviewer_ID","Total_reviews","Reviewer_ranking","Total_helpful_votes","Location","Recent_ratings"
"A14D0XM24DFGP","4","3,581,160","1 of 1","","3 4 5 4"
"A14D4ATJ3NUPZR","14","667,256","44 of 77","Toledo, OH United States","5 4 5 2 4 1 2 1 5 1"
"A14D65YB1D4Z1","2","5,087,564","1 of 1","","5 5"
"A14D6YSBWCBDG9","10","53,543","87 of 101","","5 5 1 5 5 3 5 5 5 5"
"A14DCQZ6P4BPHV","4","1,046,428","16 of 24","San Diego","3 5 2 5"
"A14DFV9R5TRAEB","5","3,529,253","2 of 5","CA USA","5 5 5 5 4"
"A14DRAM435Z27I","7","960,153","31 of 37","","4 5 4 4 4 5 5"
"A14DT3ZNKUXGBF","1","15,620,896","10 of 220","","5"
"A14DTYUIWK3JPD","10","695,571","35 of 67","","5 5 5 5 5 2 5 5 5 5"
"A14DV1AHMUU7U6","1","15,339,188","","","3"
"A14DZUKZQE6ULH","2","3,279,507","4 of 4","","4 1"
"A14E6O3X4C1BIT","10","77,075","54 of 93","Brooklyn, NY","5 5 4 5 5 3 3 4 5 3"
"A14E7INM3Q6CB6","10","15,658,944","4 of 22","","5 5 1 4 1 1 4 5 5 3"
"A14E8WQ2TE65BU","10","199,272","68 of 98","Tempe, AZ United States","3 5 5 5 5 2 2 5 5 1"
"A14EAJ7OQUR7E","8","245,842","99 of 110","","5 5 1 5 5 5 5 5"
"A14EAKW3ZOPNAX","1","8,924,600","","","5"
"A14EBTMBC1O4I9","15","278,234","100 of 109","","5 5 5 5 5 5 5 5 5 5"
"A14EDQ96RV98Q1","5","960,304","6 of 7","","5 5 5 5 5"
"A14EK7CK43XIIE","10","9,690","251 of 283","Baltimore, MD","4 4 5 2 5 5 5 4 5 3"
"A14EP295UJ398F","1","9,077,372","2 of 2","EWING, NE, US","1"
"A14ESQ267Z0DQV","1","15,310,354","","","2"
"A14EU3OBE354D4","9","3,138,823","3 of 5","Trafalgar, Indiana","5 5 5 5 5 5 5 5 5"
"A14EVEWJOL6M0R","7","3,081,566","4 of 7","","5 5 5 5 1 4 4"
"A14F3H4D9ETC27","10","176,776","25 of 30","Oklahoma City, OK","5 5 4 4 5 4 4 5 5 4"
"A14FFYL8XV7J8","2","4,661,424","6 of 7","","5 5"
"A14FKISP89VR24","10","153,994","55 of 77","","4 5 1 5 4 5 5 5 1 5"
"A14FQS9Z5USX0","10","10,820","1114 of 1257","Triad, NC","1 4 5 5 4 5 3 2 4 5"
"A14FS74X9JJIOX","6","3,272,857","5 of 10","OSHKOSH, WISCONSIN, US","5 5 1 5 5 5"
"A14FZ6R1P7WOT","4","1,287,919","4 of 4","","5 5 5 5"
"A14G0WX40AAR49","1","15,034,772","","","4"
"A14G1Z2YJ3JXCT","9","587,836","10 of 13","","5 4 5 5 5 5 4 5 5"
"A14G4QPA1LF35W","1","8,996,280","","","5"
"A14GBHFIQIJGI2","10","186,640","65 of 84","Bedford, TX USA","4 4 4 4 3 4 4 5 3 4"
"A14GHEFE1I4XXL","10","487,293","6 of 7","Prairieville, LA USA","5 1 1 5 5 5 1 4 5 5"
"A14GHR8Q9I2F8U","4","1,526,920","11 of 11","Northern NJ","2 5 5 4"
"A14GLCDFV0Y9N3","1","8,120,094","3 of 4","","5"
"A14GP29FD8CJFF","4","4,976,402","","","3 5 1 1"
"A14H2HBGO72M14","1","15,404,415","5 of 26","California","1"
"A14H3CXPYIAVUN","2","5,084,780","1 of 1","","5 1"
"A14H3VUF7LQ7Z2","10","96,112","268 of 304","NY USA","5 4 2 5 5 5 5 5 4 1"
"A14HF75NV5LP96","10","255,443","25 of 34","charlotte, nc","4 5 4 5 5 4 5 3 5 5"
"A14HGSAHEM3QE7","3","15,433,390","2 of 12","","4 3 1"
"A14HJL6ZNI0B2N","10","88,265","94 of 121","","5 5 5 3 4 5 5 5 2 5"
"A14HPBKFIR7HX","10","59,574","66 of 90","","5 5 5 5 5 1 5 5 5 5"
"A14HW4BZKOADWW","7","891,396","7 of 7","","5 5 5 5 5 5 4"
"A14HWAASB7X63C","19","107,802","223 of 260","West Virginia","5 5 1 5 4 3 3 5 5 5"
"A14HWO8VUW04XH","2","4,470,176","1 of 2","","5 5"
"A14HXJEAZV55ZO","6","1,600,919","12 of 19","Southern California","5 4 5 5 5 5"
"A14HYKUZHPP03I","1","7,743,089","3 of 4","","4"
"A14IBIBIYUOWGO","4","2,254,804","4 of 6","","5 5 5 5"
"A14IF5BPNR58UA","32","829,894","16 of 33","Detroit, MI United States","3 5 1 5 5 4 4 5 4 4"
"A14INOQQ8JZX4M","3","7,630,184","3 of 5","Canton, GA","4 5 5"
"A14IRM2N6WQOT9","10","91,264","119 of 149","","4 5 5 3 2 5 5 5 5 4"
"A14IRUOEW3OG4","40","388,839","26 of 34","tx","1 3 5 5 5 5 4 5 4 5"
"A14IU6VQ176YIH","2","8,827,868","6 of 12","NY USA","2 4"
"A14IUIOT68Q4LD","1","8,349,620","1 of 1","","5"
"A14IUTFYEL0LCB","10","15,534,719","91 of 193","","1 1 5 3 5 5 5 4 3 3"
"A14IUTP3T3B66T","1","8,394,346","","","1"
"A14J0KS4R7P261","4","1,445,660","16 of 19","","3 5 5 5"
"A14J3L7IZIZQJJ","1","2,807,382","7 of 7","","5"
"A14J6062YIKHLG","1","9,159,666","1 of 2","","5"
"A14J784I89ICBY","2","15,468,352","2 of 16","earth","4 1"
"A14J7CUTSUB301","10","1,397,295","14 of 18","San Lorenzo, CA United States","5 4 4 1 1 4 4 5 3 4"
"A14J7NCP0SYLCY","5","2,412,577","6 of 7","Kenosha, WI USA","5 5 5 5 5"
"A14J8A5SC6169T","10","356,827","23 of 34","Kentucky","2 2 4 5 4 4 5 5 1 3"
"A14JBGJPCM2M2C","4","15,526,985","8 of 25","Chicago, IL","3 1 4 3"
"A14JHD826UNR5L","7","15,507,235","","","5 5 1 5 5 5 5"
"A14JNVJG16PIG4","10","539,967","9 of 12","SEBRING, FLORIDA, US","5 4 5 3 5 5 5 5 4 5"
"A14JOT1GS41ZCY","10","15,650,428","10 of 55","Missouri","1 5 5 5 5 3 1 1 4 5"
"A14JOYUKG6PWJL","2","76,264","925 of 944","","5 4"
"A14JSPPQ6N3RLL","7","734,037","28 of 34","US","5 4 1 1 1 5 4"
"A14JWEHTYYY2SE","4","2,268,425","7 of 8","","4 4 5 5"
"A14JY81Z0IPGK0","10","61,833","53 of 58","ny","5 5 5 5 5 5 1 5 4 5"
"A14K3TLROC8ZTZ","0","","","Salt Lake City, UT USA",""
"A14KBFXF02Z80H","5","63,514","462 of 509","St Louis, Mo United States","3 2 1 1 1"
"A14KG09H23BPSN","1","10,071,374","","New York","3"
"A14KHNKSUNLK9H","10","569,286","16 of 26","Birmingham, AL","5 5 5 5 2 4 5 1 4 5"
"A14KQH5OO1NY7F","6","2,498,960","2 of 4","","4 5 5 5 5 5"
"A14KU4LHBPVSQ7","10","1,087,208","5 of 7","","5 2 5 3 2 5 5 5 4 4"
"A14KWM1TX95P7L","10","201,114","17 of 20","","5 5 5 5 4 5 1 5 5 5"
"A14KXGD4JMUK6X","10","248,843","37 of 44","Cincinnati Metro Area","5 5 5 5 5 5 5 3 5 5"
"A14KZ63J3JFA11","1","9,339,784","","","4"
"A14L8TAQRE2S1B","4","15,412,921","6 of 19","","5 5 3 2"
"A14LNH3ELNV8MI","10","166,937","125 of 166","New York , NY USA","3 5 1 3 4 3 5 1 1 5"
"A14LP69U76PRW2","3","1,639,716","8 of 9","","5 5 5"
"A14LWQ31GBIFKD","4","1,139,371","12 of 18","Boston Area","5 4 2 3"
"A14LZP6IGHRQN1","10","576,774","8 of 12","","1 1 2 5 5 5 5 5 5 5"
"A14LZW0L3X4L2S","6","7,814,904","32 of 55","USA","1 1 1 2 3 1"
"A14ME6LYTTQPWQ","5","1,247,537","7 of 8","","5 5 4 5 5"
"A14MF6WXT31VVA","4","15,544,724","4 of 9","","5 3 5 5"
"A14MHHAOBKLDXR","1","10,091,802","1 of 2","","3"
"A14N0CXWNRLMLJ","1","9,215,915","","","5"
"A14N8K7O6GKHX4","3","4,888,966","","","4 5 4"
"A14N8TX17CS7UT","10","92,806","62 of 106","Chicago, Illinois","5 5 5 5 5 4 5 3 5 5"
"A14NA0W8ESGDSI","10","7,366","660 of 838","Boston, MA USA","5 4 4 5 5 4 5 3 5 4"
"A14NBQZIAV7MTS","10","31,242","199 of 276","NYC, USA","5 4 1 2 4 4 3 4 1 4"
"A14NEE7ZSMM05R","10","15,664,807","31 of 108","","1 1 1 2 2 3 2 2 3 3"
"A14NF908MKNBRT","9","1,278,243","16 of 23","Mesa, AZ United States","4 2 5 1 4 5 5 5 5"
"A14NLKXVCCO4M","5","2,099,805","35 of 44","Estero, Florida","5 2 2 5 4"
"A14NQDKRRBOKW3","1","9,370,271","1 of 2","","5"
"A14NQWLULCP0MS","2","3,733,637","3 of 5","","5 4"
"A14NSGZB2PP00O","2","7,485,676","4 of 5","","5 3"
"A14NSN0HOBIBH0","17","96,432","53 of 61","","5 3 3 5 4 5 4 3 4 4"
"A14O1P33OKR25W","3","15,358,604","2 of 10","","5 2 2"
"A14O2338PIHSJ9","10","250,275","15 of 17","Arizona City, Az","3 4 4 5 5 5 5 5 4 5"
"A14O5VGNEZ53XF","2","4,831,226","2 of 3","Williamsburg, KY, US","5 5"
"A14O7WC2KE6CTY","6","1,879,986","14 of 21","","1 4 4 4 3 2"
"A14OFOAHBXYBCY","10","19,547","309 of 430","My Tree United States","5 5 4 2 1 2 5 5 4 5"
"A14OI21D0APA09","3","15,277,825","1 of 6","","2 4 1"
"A14OQ67LM79KW3","10","5,323","1041 of 1277","New York United States","5 5 2 5 5 1 5 3 5 5"
"A14OSIVVYKM76U","1","3,386,218","75 of 89","","1"
"A14OSMELFY3Y8I","1","15,042,162","1 of 5","","2"
"A14P39XLDXIPS2","10","23,117","125 of 142","Madison, USA","5 5 5 5 5 5 5 5 5 5"
"A14P485VPCFFXK","5","1,634,222","4 of 9","","5 2 2 4 4"
"A14P4PYB1AK2VU","10","2,324,833","3 of 6","Bethesda, MD United States","5 5 5 3 2 5 1 4 4 4"
"A14P5K10BQ9HFJ","10","381,330","26 of 42","","5 5 5 5 5 1 5 5 5 5"
"A14P5QVLRSDBH7","3","3,358,925","5 of 5","","1 1 2"
"A14PBY98JRFNAK","1","15,160,144","1 of 5","","1"
"A14PO5H10MJXKT","2","15,314,552","3 of 10","","2 2"
"A14PTFK7J2O312","3","1,305,600","5 of 5","","4 5 4"
"A14Q5RE2JKOOFY","5","1,083,523","6 of 7","Danvers, Ma United States","1 1 5 4 1"
"A14Q6GA6C5E59Y","8","1,697,876","","","5 5 5 5 5 5 1 1"
"A14Q75OABVW2F5","1","11,301,988","","Dallas, TX","4"
"A14QF7AILS8HW1","1","15,274,594","","","3"
"A14QJKY3DA19AP","10","477","2196 of 2393","Maryland","4 5 5 5 5 5 4 4 5 3"
"A14QM4FB7MASC9","12","4,275,930","7 of 39","IL","5 5 1 5 2 5 5 5 5 5"
"A14QSE45WYTMEF","3","811,914","3 of 21","","5 4 5"
"A14QTQC4IZQ1Y8","1","9,435,266","","","2"
"A14R67R0N6L0QV","1","7,743,424","2 of 2","Baton Rouge, La","5"
"A14RAMF701ZBFQ","4","3,232,154","","","5 1 5 5"
"A14RBMX09WFE8X","10","127,867","546 of 553","Pasadena, CA","4 5 2 5 4 5 4 1 5 3"
"A14RE6Q5D62N9N","3","1,488,087","33 of 39","Westchester, NY","5 4 5"
"A14RF6DTU6Q9OS","2","15,181,265","4 of 13","","5 3"
"A14RFEEDRH737F","10","283,274","26 of 44","Tampa FL","5 5 5 5 4 2 5 5 3 5"
"A14RH4BF6A2MRI","1","11,289,122","2 of 6","","2"
"A14ROGTUBXKHD9","9","1,525,756","12 of 25","","1 1 1 1 5 5 1 5 5"
"A14RSCMVY3E24X","1","8,672,849","11 of 14","RAINIER, OR, US","2"
"A14RUGYB73PMVL","1","15,505,893","3 of 44","","1"
"A14S6GQITSPZBK","9","1,236,291","3 of 5","MILFORD, OHIO, US","4 4 5 5 5 5 3 5 5"
"A14SE6PNB9P5SF","2","6,567,841","1 of 2","","5 5"
"A14SGUO354DPOL","1","15,181,117","1 of 6","","3"
"A14SO0S71W2S7S","1","10,098,445","5 of 10","","1"
"A14SY67EGDYY0M","3","15,418,613","","San Diego, CA","5 5 5"
"A14TCY1HG0S802","3","15,329,107","1 of 7","","4 3 3"
"A14TFINR1C6U0Z","2","3,669,942","1 of 1","","5 4"
"A14TMBKGWGS7NU","1","9,370,964","","","5"
"A14TMSMEAHUY8D","6","2,217,980","1 of 2","","4 3 4 4 5 5"
"A14TW0ETDY7K02","1","1,600,834","30 of 37","","4"
"A14U0D8KS0A8NU","10","2,388,050","4 of 6","Annandale, VA USA","5 3 4 5 5 1 3 4 5 5"
"A14URR3I4XJ0XG","1","10,148,688","","ica","1"
"A14USE0XMVZO9B","4","1,455,080","3 of 4","","3 5 5 4"
"A14UXJ0TN7VIST","15","12,860,023","14 of 29","Detroit, MI","3 2 2 4 4 2 4 4 4 4"
"A14V7PTVMQWUYU","10","415,317","31 of 39","Montreal, Canada","5 5 5 5 5 5 5 3 1 1"
"A14VCJVRPBDSZC","2","7,323,276","13 of 15","Portland","5 5"
"A14VJUCVQZ3E3V","1","15,319,439","1 of 10","","1"
"A14VZAN6XRQ5HP","2","4,988,333","2 of 3","","4 2"
"A14VZP8WO43EW","10","355,542","72 of 109","","5 1 5 3 1 3 1 5 5 1"
"A14W3ZK4D65EGI","1","15,306,156","5 of 27","","1"
"A14WCEYKSJTDT3","9","1,452,360","2 of 2","Argentina","3 5 5 3 4 4 5 4 4"
"A14WCM5XDC1UT3","10","7,938","550 of 674","Bellevue, WA","5 5 5 5 5 5 3 5 5 4"
"A14WE8Y3D91H03","10","106,729","60 of 81","Earth","1 3 5 5 5 1 2 3 5 1"
"A14WF3HOKS4916","1","10,651,773","1 of 3","","5"
"A14WGFLP0I31KS","4","2,377,088","4 of 6","","5 5 5 3"
"A14WU8RXPIMMLG","5","1,857,416","7 of 9","","4 2 1 4 5"
"A14WUC8BKSYTN3","9","811,533","8 of 10","East Coast","1 4 5 5 1 2 5 3 1"
"A14WVA7JJ4RML4","10","76,900","77 of 92","","4 5 4 5 3 5 1 4 5 5"
"A14WXIXRYW3NN8","20","77,435","102 of 108","","5 5 5 5 5 5 5 5 5 5"
"A14X1QGKEHXNZ3","7","15,385,470","4 of 15","North Shore Lake Superior","4 1 2 5 5 5 5"
"A14XD5PH567VW2","1","3,534,715","12 of 15","St. Louis, MO","2"
"A14XTG35WBZ2WU","3","2,847,826","10 of 13","","5 4 1"
"A14XUYB7Z9BPX0","6","15,181,903","","","4 4 3 3 5 4"
"A14XV6FLVG1CZP","5","1,698,996","3 of 7","","3 5 4 5 4"
"A14XWUTXZN8SQD","1","7,266,358","1 of 1","","4"
"A14Y2G3Y49K0AW","1","5,922,787","4 of 5","","1"
"A14Y42EHMUQ1VY","4","3,344,867","1 of 2","","5 2 5 5"
"A14Y7ZIMLW7VPS","1","7,563,285","3 of 3","","5"
"A14YA84GQVZ592","10","1,150,533","11 of 16","","5 5 5 5 5 5 5 5 5 5"
"A14YK5COWYEW0Q","1","9,336,092","1 of 3","","5"
"A14YMKX9DBL1Y3","1","9,305,980","1 of 2","","4"
"A14YRIDWIZ5VBE","10","384,450","10 of 11","U.S.A.","4 4 5 4 4 5 4 5 5 4"
"A14YZFS788XXX3","3","2,248,145","17 of 18","CA USA","5 5 5"
"A14Z4XKOFPCP7N","10","395,536","14 of 20","Auburn, AL","5 5 5 4 5 5 2 5 5 4"
"A14Z90FP099UMU","5","1,017,509","36 of 40","NW of Philadelphia, PA, USA","5 3 1 5 5"
"A14Z9GWMW7GIRS","10","15,655,937","123 of 267","Boston","5 4 4 3 1 1 5 1 5 5"
"A14ZB0STWHOAZV","1","9,160,470","1 of 2","New Jersey,USA","5"
"A14ZQ6SUPXYG4L","56","71,437","37 of 47","Fairfax, VA","5 1 5 4 5 4 4 4 1 5"
"A14ZQI8ZODMHKX","4","3,164,492","","","3 4 2 5"
"A14ZT95064S5MH","4","15,201,747","9 of 25","","2 2 1 1"
"A14ZUOWHJL8FI9","10","15,668,130","55 of 254","ORLANDO","5 5 5 5 5 5 5 5 5 3"
"A14ZVSEBPIVIZI","10","408,196","59 of 100","decatur, ga","5 4 5 4 1 1 1 2 2 2"
"A14ZXDR3RY2HAF","6","859,915","28 of 29","","5 5 5 5 5 5"
"A1500Y3MDS7M38","1","15,032,160","","Santa Cruz, CA","1"
"A150ACTUOZL81P","3","3,178,421","13 of 39","FL USA","5 5 5"
"A150BA4FH62TNB","1","15,150,878","","","1"
"A150C18WN274QJ","1","9,015,382","1 of 2","","3"
"A150EHO7X10TB0","9","204,235","51 of 52","Southern California","5 5 5 5 5 5 5 5 2"
"A150MHEBR57CG1","10","486,550","5 of 5","CHICOPEE, MA, US","5 5 5 5 5 5 3 5 5 5"
"A150P0B8IGPN14","1","8,303,504","1 of 1","Rockford, MI United States","4"
"A1514LMBYKO385","2","5,664,568","6 of 9","","1 1"
"A1514PKQ5OOWMM","7","946,934","46 of 78","College Station, TX USA","5 2 4 4 5 1 1"
"A1519XNK0K7S53","3","15,511,140","1 of 15","South Georgia","2 1 1"
"A151CRELB52EN","3","1,792,992","5 of 6","","5 5 5"
"A151TSNB1RQPGC","2","7,803,987","","","5 5"
"A151TTKJVOHFZN","10","123,809","58 of 70","","2 5 5 5 4 5 4 5 3 5"
"A151ULVDYW71X0","2","2,919,693","1 of 1","","5 5"
"A151V73MALL424","10","146,679","105 of 167","lacey, wa United States","3 5 5 5 3 5 2 5 5 4"
"A151XB4ESXNK8S","2","2,820,732","5 of 6","","4 4"
"A151XY0YZGJJUK","10","15,660,070","12 of 96","Romeoville, IL","2 5 5 5 4 4 4 4 5 5"
"A15260XUNUR9R2","1","9,719,948","","","3"
"A15279Q1EYMNDT","6","1,192,909","14 of 15","Houston, TX USA","3 5 3 5 4 5"
"A1527CN14VOM84","1","9,406,583","4 of 8","","5"
"A152C0GXR2MBE1","2","7,825,847","1 of 3","","4 5"
"A152DN9V0I9KQ1","3","8,197,643","10 of 12","","5 5 4"
"A152KY5JG2I48D","1","9,337,447","6 of 12","","3"
"A152P0M00ACQWU","1","8,763,607","4 of 4","","5"
"A15337VN09O1IK","1","9,942,822","","El Cajon, CA, US","4"
"A1533UHM87FNCQ","10","9,734","339 of 390","Amesbury, MA","4 4 5 5 5 5 5 5 1 5"
"A153GYE4YBEDL9","2","6,808,021","","","5 5"
"A153SIFJTNY9TX","2","11,635,848","1 of 5","","1 1"
"A153TMB57E9O84","6","1,807,125","3 of 4","Wisconsin","5 5 5 5 5 4"
"A153UNV9QR9PJL","10","319,667","188 of 198","USA","4 4 5 5 4 3 5 5 4 3"
"A153Y59B0NJKE2","10","282,982","34 of 36","","5 5 5 5 5 5 5 5 5 5"
"A154482EZUC9OK","18","968,991","112 of 115","St. Clair Shores, MI USA","5 5 5 5 5 5 5 5 3 2"
"A1545CEIF81L6","10","329,613","30 of 33","","5 5 5 5 1 5 5 5 5 5"
"A1546B0ZTY7IQP","1","10,091,217","2 of 4","","3"
"A154C3SJNX48GD","1","8,681,184","","","5"
"A154E58JTYIXG2","1","8,794,391","","","4"
"A154GV1ZGUWD8C","4","15,578,725","4 of 9","United States","2 3 4 4"
"A1555NSJ3610Z4","9","1,306,612","6 of 9","","5 5 5 4 5 5 5 4 5"
"A15560KVXGSV02","1","10,551,622","","","5"
"A155EHD2K33LOU","1","9,288,308","4 of 5","","5"
"A155GH6GMLXM4Y","2","7,002,276","1 of 2","","5 5"
"A155HEVVPEIFOQ","10","111,556","87 of 95","USA","5 5 5 5 1 1 2 5 4 5"
"A155HTP4AL7NOU","3","1,505,331","10 of 10","","4 4 5"
"A155L47OH7ODDA","10","1,329,082","7 of 11","Orlando, FL","5 5 5 5 3 5 5 5 5 5"
"A155O1ZY86NSXK","10","4,362,111","20 of 40","AL","1 5 1 4 5 1 4 3 1 5"
"A155TPKJZ6OJ2H","8","15,603,532","12 of 23","Norwich, CT, US","5 1 5 5 4 4 5 5"
"A155Z96INCVRPZ","8","15,615,883","34 of 93","Orlando, FL","5 5 1 5 3 5 5 5"
"A1562KLLOF8NA7","10","12,028","348 of 401","","4 4 3 3 5 5 5 5 2 2"
"A1562W78KEL7RZ","10","512,621","9 of 14","Ohio","5 5 5 5 1 3 2 5 4 5"
"A15674OLHVOAU2","10","15,541,723","13 of 26","Houston, TX","4 2 3 4 3 5 3 3 2 3"
"A156B8XBEMDBD0","4","4,042,373","","","4 5 5 5"
"A156INOC0TEKEM","2","9,093,343","2 of 2","Missouri, USA","5 5"
"A156JKVQJDGO9Z","2","9,581,886","116 of 166","Tacoma, WA USA","3 2"
"A156NW2LLPY6ZB","1","15,338,939","4 of 19","","1"
"A1574C5PX445H9","8","1,138,668","14 of 20","","3 2 5 4 5 2 3 3"
"A1575SLQJHP2MH","2","9,388,106","","CORVALLIS, OR, US","4 5"
"A1576HHQLZE2OT","10","6,654","365 of 472","CO","4 5 4 5 4 5 5 4 4 5"
"A157M289MAGO7V","1","8,418,638","1 of 1","","1"
"A157NHL3P3C6OA","6","3,999,985","","","5 4 4 4 4 2"
"A157PSVRIGFBUF","1","7,428,568","3 of 3","Brightwood, OR, US","4"
"A157VIS9W6FLC4","3","2,830,759","21 of 28","","5 5 3"
"A15854220WBY9D","1","8,289,550","4 of 7","","5"
"A158DO8AF66EF9","1","8,196,362","4 of 6","New York","5"
"A158QCWSX08SM6","10","217,796","49 of 75","Minneapolis - Las Vegas","1 5 1 5 5 2 5 5 2 5"
"A158S1OOW3SRH8","3","1,904,322","1 of 1","","4 4 4"
"A159H8BQPZTOBG","1","15,340,213","","Carrollton, Ohio United States","1"
"A159NIO1X15T2Z","1","15,423,754","","","3"
"A159SM3XYA46JC","2","10,966,034","15 of 31","","1 5"
"A159TXI7D78BBS","2","6,658,220","","","5 5"
"A159YFJ2AYBWAY","10","15,649,604","2 of 12","","5 5 5 5 5 5 4 5 4 4"
"A15A9L1OZI2KBU","10","62,490","32 of 35","The Great Pacific Northwest","3 5 5 4 5 1 1 5 3 5"
"A15ACX0TAHATVL","6","1,716,316","2 of 3","","5 5 5 5 5 5"
"A15AIHNIXUK42A","1","8,142,474","4 of 6","","5"
"A15ALN6BJ0Z0YC","4","1,840,283","6 of 8","brooklyn, ny, US","5 3 4 3"
"A15AN7XC6O3QY7","1","8,290,889","4 of 5","","5"
"A15ARA38MW03WE","8","1,266,636","4 of 4","Chicago, IL United States","5 4 5 1 3 3 4 4"
"A15B0B2UPN4NIP","8","648,286","31 of 35","IL United States","1 4 3 1 5 4 5 5 5 1"
"A15B21IPSXCPXH","10","24,410","572 of 878","Los Angeles, CA","4 4 4 1 1 1 5 4 2 5"
"A15BC6Q9FN40C6","1","7,912,516","4 of 6","Mooresville, NC","3"
"A15BHXGU68NL3T","10","1,523,271","4 of 8","","2 3 4 4 4 4 5 1 4 1"
"A15BICS2D23E7W","10","921,592","20 of 47","San Diego, CA USA","4 5 4 3 5 3 4 3 4 5"
"A15BM9PACJG9SO","2","2,300,439","11 of 11","","4 3"
"A15BSHSRK8SP7T","6","3,016,181","7 of 12","Nashville","5 5 2 5 5 5"
"A15BTQET9V4SUT","10","1,146,950","5 of 5","","5 5 5 5 5 3 5 5 5 5"
"A15BUA2RDCUD2D","5","1,306,850","5 of 5","USA","5 5 5 5 5"
"A15BXS243AX7AX","2","4,581,351","2 of 2","Aus","5 4"
"A15C161A7E9HJ5","11","1,160,816","8 of 9","Cochran, GA USA","4 5 5 4 1 4 4 5 5 5"
"A15C5VPNLXG03U","21","143,554","65 of 88","Boston","5 5 4 5 3 3 5 5 3 5"
"A15CBZ2SB1NUXT","10","101,383","32 of 33","","5 5 3 5 3 5 5 5 5 4"
"A15CGEXT06EXQI","10","660,543","3 of 4","","5 5 5 5 5 5 4 5 3 5"
"A15CN7M1FVK4D4","1","10,252,053","","","1"
"A15CR5RACEMMJW","1","4,875,843","2 of 2","KANEOHE, HAWAII, US","1"
"A15CSLPBKI8IC","10","383,963","14 of 17","","5 5 5 5 5 5 5 5 5 5"
"A15CU7PZD5ARLA","10","15,639,429","64 of 129","Harrisville, NH","3 5 5 5 5 5 5 5 5 5"
"A15CV8QA5PIKEP","18","15,582,339","3 of 22","us","5 5 5 5 1 3 5 5 5 5"
"A15D0YLACQ2BL2","5","1,260,575","11 of 14","Columbus, OH USA","5 3 5 5 2"
"A15D11Z632NOP2","10","7,567","488 of 677","Mtn View, CA","4 2 5 1 1 5 4 5 5 1"
"A15D4K9EXFANW3","8","2,229,271","7 of 9","Atl","5 5 5 5 5 5 4 4"
"A15D5J2M9ASO5X","1","15,183,927","","","4"
"A15D7796POG8GD","1","15,370,377","1 of 14","","1"
"A15DF9MSVQOO00","2","9,046,700","2 of 6","","4 1"
"A15DFXE3C882PW","3","4,263,853","1 of 4","Salinas, CA USA","5 5 2"
"A15DGEQ73NBD1C","8","899,706","12 of 19","","2 4 5 5 3 4 4 5"
"A15DV5LKZG33T2","10","1,748,852","8 of 23","Washington, DC, United States","5 4 4 5 5 5 4 4 3 3"
"A15DZVLRYTFBKF","5","5,510,833","1 of 3","","5 5 5 5 5 5 5 5 5 5"
"A15E65O4TJ9NIN","1","10,110,413","2 of 5","","4"
"A15EB403JS04TD","5","1,707,499","7 of 9","","4 4 3 1 1"
"A15EDVUX0VAGOL","5","4,013,448","7 of 12","","5 3 5 5 5"
"A15EF0ULEZV3LQ","5","730,566","13 of 15","","4 4 4 5 5"
"A15ENOJZ534KE0","3","1,187,987","8 of 9","","5 5 4"
"A15EPLBU53KAWN","1","10,562,958","","","4"
"A15EQRR1DL85YF","1","9,659,494","1 of 1","","5"
"A15EVEO1AIORYR","10","869,265","18 of 30","","5 5 5 2 3 5 2 5 2 2"
"A15EW8UYALU0DD","10","25,946","155 of 177","Hawaii","5 5 5 5 5 5 5 5 4 4"
"A15F0AKNXKZLIZ","1","4,981,163","7 of 7","","5"
"A15F2KY2OCLI4V","1","6,796,429","2 of 3","","5"
"A15F3ED557I8FP","7","2,201,800","1 of 1","","5 5 4 5 4 2 5"
"A15F6ZU2LVK4IE","3","5,094,571","10 of 12","Guangzhou, China","5 5 3"
"A15F76D9F4ZM6X","10","12,469","304 of 331","Michigan, USA","5 5 5 4 5 4 5 5 5 5"
"A15FBVEOSB9Q7F","1","15,050,366","3 of 9","Salem OR","3"
"A15FHFN52183LF","10","277,658","74 of 117","Alaska","5 5 5 2 3 4 5 5 2 3"
"A15FPNY7JA3LX7","10","185,408","25 of 33","Plainview, LA","5 2 5 5 4 5 4 5 2 2"
"A15FSQV46OKBB3","10","284,665","12 of 16","NY","5 5 5 3 5 5 5 4 5 5"
"A15FU69WD1460Q","9","3,859,045","19 of 70","Las Vegas, NV USA","1 1 1 2 5 5 4 4 5"
"A15FWZ5CM38C7Q","4","1,567,278","3 of 4","","5 5 4 5"
"A15FX9RFPM1QBT","10","15,564,858","4 of 17","","5 5 5 5 5 5 5 5 5 3"
"A15G0X7JEED7NB","5","3,147,193","6 of 10","","5 1 3 5 4"
"A15G6CALF7DDUC","10","6,823","560 of 647","Clifton, VA USA","5 5 2 1 4 5 5 5 5 5"
"A15GAMEM85RM4D","1","8,469,933","","","3"
"A15GY6CYP40QI","1","11,611,991","1 of 4","","5"
"A15GZJHVUDXON0","9","989,985","5 of 7","","5 4 5 5 5 5 5 2 5"
"A15HCNINOXVLR4","7","770,913","22 of 33","","5 4 3 5 3 4 3"
"A15HLZE4QC79YZ","3","1,633,747","6 of 6","","5 1 5"
